post_id,ticker,dividendo,yeld,media_yield_3m,soma_yield_3m,media_yield_6m,soma_yield_6m,media_yield_12m,soma_yield_12m,variacao_cotacao_mes,rentabilidade,rentabilidade_mes,cotacao_fechamento,soma_yield_ano_corrente,ano,vpa_yield,vpa,vpa_change,pl,vpa_rent,vpa_rent_m,yield_vpa_3m_sum,yield_vpa_3m,yield_vpa_6m_sum,yield_vpa_6m,yield_vpa_12m_sum,yield_vpa_12m,setor,setor_slug,valor,liquidezmediadiaria,patrimonio,pvp,p_vpa,post_title,v_fisica,v_financeira,ativos
495,AAZQ11,0.1300,1.3500,1.4500,4.3500,1.8075,7.2300,1.8075,7.2300,-0.1038,5.6817,1.2448,9.6200,7.2300,2023,1.4583,9.6000,0.0000,230646828.8800,0.0000,0.0000,3.0192,3.0192,3.0192,3.0192,3.0192,3.0192,Indefinido,indefinido,9.6,829446.16,230646828.88,1.0052,1,AAZQ11,,,
238,ABCP11,0.5000,0.7200,0.7400,2.2200,0.7583,4.5500,0.7558,9.0700,1.8139,-2.3753,2.5470,69.6000,3.7400,2023,0.6535,91.8200,-0.1807,1120589958.8000,7.1163,0.4715,1.8171,0.6057,3.5825,0.5971,,,Shoppings,shoppings,70,62936.66,432443873.07,0.7623,0.7623611413635374,ABCP11,,,1
177,AFHI11,1.1000,1.1200,1.1500,3.4500,1.1200,6.7200,1.1333,13.6000,2.7478,6.9453,3.8985,97.9700,5.6900,2023,1.0124,94.8200,-0.9428,286309475.8200,4.9967,0.0601,3.0544,1.0181,,,,,Papéis,papeis,96.81,879801.24,288774479.75,1.0122,1.020987133516136,AFHI11,,,0
553,AGRX11,0.1800,1.6200,1.5800,4.7400,1.4933,8.9600,1.4678,13.2100,2.2978,17.5314,3.9550,11.1300,7.9800,2023,,,,,,,,,,,,,Outros,outros,11.11,123105.89,0,0,,AGRX11,,,0
56,AIEC11,0.7800,1.2100,1.2467,3.7400,1.1850,7.1100,1.0825,12.9900,6.9080,-2.3724,8.2016,64.3800,5.2100,2023,0.7313,102.5569,0.2432,494835689.5500,9.3978,0.9763,2.1744,0.7248,4.3953,0.7325,,,Lajes Corporativas,lajes-corporativas,69.57,537340.21,456168645.06,0.7359,0.6783551374895301,AIEC11,,,2
216,ALMI11,0.3711,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,,0.0000,2017,0.0000,2046.7799,-0.0517,214297860.7000,0.8982,-0.0517,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,Lajes Corporativas,lajes-corporativas,790.01,40900.24,225341513.46,0.3898,0.38597701687416414,ALMI11,,,1
556,ALZM11,0.8500,0.9100,0.9467,2.8400,1.0233,6.1400,1.1075,13.2900,-0.5135,12.9857,0.3918,93.0000,4.9300,2023,1.0731,100.5005,2.3329,69465153.2000,8.2282,3.4311,3.2256,1.0752,6.2713,1.0452,,,Fundo de Fundos,fundo-de-fundos,91.2,73082.53,63000354.16,1.0005,0.9074581718498913,ALZM11,,,0
366,ALZR11,0.8158,0.7100,0.7200,2.1600,0.7167,4.3000,1.0325,12.3900,1.8593,4.0259,2.5825,114.5000,3.6100,2023,0.6784,106.9400,-0.0291,740337456.7800,7.2646,0.6491,2.1471,0.7157,,,,,Misto,misto,111.65,2291938.05,812381314.05,1.0511,1.0440433888161587,ALZR11,,,13
283,APTO11,0.1100,1.1000,1.1867,3.5600,1.1800,7.0800,1.1658,13.9900,17.6471,20.4117,18.9412,10.0000,5.9400,2023,1.0032,9.9679,-0.7769,39999841.8000,13.1361,0.2185,2.8949,0.9650,6.4626,1.0771,,,Imóveis Residenciais,imoveis-residenciais,9.89,39120,40188993.12,0.987,0.992184913572568,APTO11,,,5
398,ARCT11,0.5000,0.0000,0.4330,1.2989,0.6359,3.8155,1.0462,12.5547,0.0000,,0.0000,,0.0000,2023,0.7628,99.7700,0.0401,369956160.0700,6.3085,0.8032,2.3120,0.7707,,,,,Imóveis Industriais e Logísticos,imoveis-industriais-e-logisticos,87.13,1053903.45,371534654.03,0.8696,0.8733086098025459,ARCT11,,,9
